Galaxy,Distance,σ∗,Δσ∗,K,B − V,M∗,MBH,ΔMBH,ΔMBH,HT
NGC4594,9.9,240,12,4.62,0.93,11.4,6.65E+08,6.24E+08,7.05E+08,S
Circinus,2.8,79,3,4.71,0.41,10.3,1.14E+06,9.40E+05,1.34E+06,S
NGC1068,15.9,151,7,5.79,0.71,11.3,8.39E+06,7.95E+06,8.83E+06,S
NGC1300,21.5,88,3,7.56,0.65,10.9,7.55E+07,3.89E+07,1.48E+08,S
NGC2273,29.5,125,9,8.48,0.83,10.8,8.61E+06,8.15E+06,9.07E+06,S
NGC2748,23.4,115,5,8.72,0.71,10.5,4.44E+07,2.62E+07,6.20E+07,S
NGC2787,7.5,189,9,7.26,0.94,10.1,4.07E+07,3.55E+07,4.47E+07,S
NGC3227,23.8,133,12,7.64,0.8,10.9,2.10E+07,9.80E+06,2.79E+07,S
NGC3368,10.6,125,6,6.32,0.84,10.8,7.66E+06,6.13E+06,9.19E+06,S
NGC3393,49.2,148,10,9.06,0.81,11,1.57E+07,5.80E+06,2.55E+07,S
NGC3489,12,113,4,7.37,0.81,10.5,5.94E+06,5.11E+06,6.78E+06,S
NGC4388,16.5,99,10,8,0.71,10.5,7.31E+06,7.13E+06,7.48E+06,S
NGC4736,5,120,6,5.11,0.73,10.6,6.77E+06,5.21E+06,8.33E+06,S
NGC4826,7.3,104,3,5.33,0.8,10.8,1.56E+06,1.17E+06,1.95E+06,S
NGC4945,3.6,134,20,4.44,1.2,10.6,1.35E+06,8.70E+05,2.03E+06,S
NGC7582,22.3,156,19,7.32,0.74,11,5.51E+07,4.56E+07,6.81E+07,S
IC2560,37.2,141,10,8.69,0.89,10.9,5.01E+06,1.00E+06,5.72E+06,S
UGC3789,49.9,107,12,9.51,0.86,10.9,9.65E+06,8.10E+06,1.12E+07,S
NGC4596,16.5,136,6,7.46,0.92,10.7,7.67E+07,4.43E+07,1.14E+08,S
