## 1  Object  Hubble  Distance     K       M_K     M_K     M_K   B/T  PB/T     M_V     M_V     M_V   (V-K)0  (B-V)0  log(M_bulge)  logMbulge_err  Object     log(M_BH)  log(M_BH high) log(M_BH low)  sigma_e    V_circ  Flag Flag 
 38  NGC4388   SBbc   16.53      8.004  -23.10  -20.55  -22.99  0.0   0.096 -20.14  -17.60  -20.03   2.955  0.711    9.41  0.10     NGC4388    7.31e6      7.13e6      7.48e6          99 ± 10   200 ± 10   3   0   	  
 39  NGC4736   Sab     5.00      5.106  -23.39  -22.29  -22.91  0.0   0.36  -20.68  -19.58  -20.20   2.710  0.735   10.13  0.10     NGC4736    6.77e6      5.21e6      8.33e6         120 ±  6   181 ± 10   1   0   
 40  NGC4826   Sab     7.27      5.330  -23.99  -22.24  -23.75  0.0   0.20  -20.98  -19.23  -20.74   3.009  0.803   10.14  0.09     NGC4826    1.56e6      1.17e6      1.95e6         104 ±  3   155 ±  5   1   0   
 41  NGC4945   Scd     3.58      4.438  -23.38  -20.50  -23.30  0.0   0.07  -20.58  -17.70  -20.50   2.801  1.20     9.35  0.12     NGC4945    1.35e6      0.87e6      2.03e6         134 ± 20   174 ± 10   3   0   
 42  NGC6264   SBb   147.6      11.407  -24.5   -22.6   -24.3   0.0   0.17   99.     99.     99.     9.999  9.999   10.36  0.09     NGC6264    3.08e7      3.04e7      3.12e7         158 ± 15   -1. ±  0   3   0   	  
 43  NGC6323   SBab  113.4      10.530  -24.80  -21.55  -24.75  0.0   0.050  99.     99.     99.     9.999  9.999    9.94  0.09     NGC6323    1.01e7      1.00e7      1.03e7         158 ± 26   -1. ±  0   3   0   	  
 44  NGC7582   SBab   22.3       7.316  -24.43  -21.96  -24.31  0.0   0.103 -21.78  -19.31  -21.66   2.649  0.738   10.02  0.10     NGC7582    5.51e7      4.56e7      6.81e7         156 ± 19   226 ± 10   2   0   
 45  IC2560    SBbc   37.2       8.694  -24.19  -22.05  -24.02  0.0   0.14  -21.65  -19.51  -21.48   2.541  0.886   10.12  0.09     IC2560     5.01e6      0.00e6      5.72e6         141 ± 10   196 ±  3   3   0   
 46  UGC3789   SABab  49.9       9.510  -24.03  -22.79  -23.61  0.0   0.32  -21.13  -19.89  -20.71   2.9    0.86    10.39  0.09     UGC3789    9.65e6      8.10e6     11.20e6         107 ± 12   273 ± 20   3   0   
 48  NGC3998   S0     14.30      7.365  -23.42  -23.24  -21.36  0.85  0.0   -20.63  -20.46  -18.57   2.786  0.936   10.67  0.09     NGC3998    2.27e8      1.43e8      3.28e8         275 ±  7   -1. ±  0   2   0   	  
 49  NGC4596   SB0    16.53      7.463  -23.64  -22.21  -23.29  0.27  0.0   -20.72  -19.30  -20.38   2.913  0.920   10.20  0.09     NGC4596    7.67e7      4.43e7     11.41e7         136 ±  6   230 ± 30   2   0   
