jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,comment,References,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,FITS,Fnu,Flam,ID_1,RA_1,DEC_1,X,Y,isoarea_SE,class_starSE,flags_SE,r50_SE,f_autoSE,e_autoSE,a_f001w,ell_f001w,theta_f001w,rKron_f001w,f_f435w,f_f606w,f_f775w,f_f814w,f_f105w,f_f125w,f_f140w,f_f160w,f_f090w,f_f115w,f_f150w,f_f200w,f_f277w,f_f356w,f_f410m,f_f444w,e_f435w,e_f606w,e_f775w,e_f814w,e_f105w,e_f125w,e_f140w,e_f160w,e_f090w,e_f115w,e_f150w,e_f200w,e_f277w,e_f356w,e_f410m,e_f444w,apopt,flag_1,ID_2,RA_2,DEC_2,zspec,zphot,EAzY_eazy_v13,EAzY_Larson,EAzY_LarsonLyaRed,flag_2,Separation_2,GroupID,GroupSize,Separation,beta_UV,beta_opt,beta_277356,beta_277410,F115_mag,F150_mag,F200_mag,F277_mag,F356_mag,F410_mag,F444_mag,method,compact
j123701.12p621817.91,3,14063,189.254668,62.304974,goodsn-wide3-v3_prism-clear_1211_5461.spec.fits,goodsn-wide3-v3,5461,2,G235H   G395H,1,2.5175,2.5175,,-,0,1.51,0.6,5.29,,2.6,0.6,40.62,40.22,,,,FITS   zfit   spl,,,55961,189.254619,62.304987,15084.198,21526.521,96.0,0.41,0.0,4.014,0.0601,0.00657,2.660955,0.107762,-9.008398,21.287643,0.01625,0.01937,0.01706,0.01682,0.01726,0.01582,0.03819,0.04156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04256,0.00216,0.00215,0.00255,0.00202,0.00291,0.00327,0.01258,0.00389,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.00316,0.28,70,55961,189.254619,62.304987,-99.0,2.725,2.921,2.661,2.661,70,0.0,,,0.09440184375882209,-2.221644807856301,2.7056456889260465,-99.0,-99.0,,,,,,,27.32749595178252,KOV24,true
j021653.70m051536.88,2,15076,34.223757,-5.260245,rubies-uds1-nod-v3_prism-clear_4233_31747.spec.fits,rubies-uds1-nod-v3,31747,1,G395M,3,4.1312,4.13085,Redshift matches rubies-uds1-v3_g395m-f290lp_4233_31747 z=4.1305,-,0,7.49,0.6,5.29,-1.7,46.0,,42.43,41.57,,,,FITS   zfit   spl,,,32839,34.223743,-5.260208,38249.328,8888.9,406.0,0.99,3.0,3.257,0.37988,0.00543,3.992345,0.211079,70.619407,31.938763,-0.00419,8.6E-4,0.0,0.00604,0.0,0.01116,0.0,0.00981,0.00972,0.01281,0.01046,0.03638,0.20664,0.39219,0.37582,0.44438,0.01214,0.00595,-99.0,0.00671,-99.0,0.01393,-99.0,0.01059,0.00582,0.0059,0.00487,0.00408,0.00474,0.00505,0.00832,0.00599,0.33,303,32839,34.223743,-5.260208,-99.0,4.75,5.388,5.111,5.111,303,0.0,3670,3,0.1423413140666163,-1.8690202935717841,1.25251213457041,-0.05091773041590055,-0.2954182202216702,28.631127175638284,28.85117078867186,27.497843263181338,25.611964017086848,24.91625871025158,24.962550279465024,24.780613738443,KOV24,true
j123710.55p620911.13,5,15265,189.293952,62.153091,jades-gdn-v3_prism-clear_1181_39353.spec.fits,jades-gdn-v3,39353,4,G140M   G235M   G395H   G395M,3,4.851,4.848,Redshifts match v2 grade=3,-,0,2.96,0.6,5.29,4.0,31.2,,42.24,42.31,,,,FITS   zfit   spl,,,2794,189.293971,62.153096,12871.263,3302.504,207.0,0.97,0.0,3.126,0.10015,0.00168,3.250926,0.112443,55.78198,26.007406,-0.0023,0.00907,0.0278,0.03454,0.02268,0.01868,0.0,0.0291,0.03267,0.02611,0.02233,0.02492,0.05297,0.09583,0.10402,0.11254,0.00193,0.00522,0.00499,0.00247,0.00458,0.00456,-99.0,0.00611,0.00278,0.00198,0.00205,0.0019,0.00129,0.0013,0.00241,0.00172,0.28,1,2794,189.293971,62.153096,4.848,4.848,4.848,4.848,4.848,1,0.0,2358,4,0.03667187094106876,-2.3196398792886477,0.611997171283271,0.8541130156552645,0.5755746637409292,27.857982820442636,28.027778192321403,27.908629905032168,27.089925067661003,26.44624627962938,26.357207876402967,26.271732722955065,Both,true
j123710.81p621136.86,5,15299,189.295056,62.193572,jades-gdn-v3_prism-clear_1181_53501.spec.fits,jades-gdn-v3,53501,4,G140M   G235M   G395H   G395M,3,3.4283,3.429,Redshifts match v2 grade=3,-,0,6.08,0.6,5.29,,53.9,37.3,42.59,42.44,,,,FITS   zfit   spl,,,16328,189.295065,62.193576,12814.914,8159.832,412.0,0.98,0.0,3.175,0.32344,0.00215,3.794963,0.080245,52.025184,30.359705,0.00756,0.03016,0.04333,0.03452,0.03402,0.04809,0.03695,0.06255,0.0,0.0537,0.06346,0.20227,0.34581,0.29436,0.33148,0.40194,0.00317,0.00518,0.00589,0.00316,0.00534,0.00425,0.00923,0.00542,-99.0,0.00342,0.00371,0.00366,0.00247,0.00221,0.00559,0.00286,0.5,10010,16328,189.295065,62.193576,3.429,3.429,3.429,3.429,3.429,10010,0.0,2373,4,0.020875758018307256,-1.3817743396075073,0.1744310825449777,-0.38402372515468314,-0.663145179703685,27.07506428575111,26.893749830589016,25.635171313841717,25.0529061303011,25.227803014364973,25.098856674570843,24.88959692956314,KOV24,true
j021658.61m051445.14,4,15439,34.2442,-5.245871,rubies-uds1-nod-v3_prism-clear_4233_40579.spec.fits,rubies-uds1-nod-v3,40579,1,G395M,3,3.1129,3.1,Redshift matches rubies-uds1-v3_prism-clear_4233_40579 z=3.1124,DKo24  z=3.100,1,53.57,0.6,5.29,,73.2,32.1,43.57,42.66,,,,FITS   zfit   spl,,,40346,34.244187,-5.245831,35806.652,10614.729,1111.0,1.0,3.0,3.181,3.86502,0.00727,5.281233,0.307888,66.885573,42.249863,0.00263,0.03361,0.0,0.0386,0.0,0.07402,0.09978,0.16393,0.04809,0.08159,0.12988,0.77261,3.1201,3.52337,4.58646,4.6731,0.0099,0.00545,-99.0,0.00526,-99.0,0.01272,0.02675,0.01217,0.00628,0.00688,0.00517,0.00571,0.00943,0.00893,0.01263,0.0094,0.33,10202,40346,34.244187,-5.245831,3.1,3.1,3.1,3.1,3.1,10202,0.0,3707,6,0.1513536620183001,-0.6301401343154939,2.2858754621239794,0.5755280345600355,0.32040958604826475,26.620907667176393,26.11614430011509,24.1800991875505,22.664578716274228,22.53260436953711,22.24630597440602,22.225987313444183,Both,true
j021701.00m051724.13,2,15500,34.254161,-5.290037,rubies-uds1-nod-v3_prism-clear_4233_916674.spec.fits,rubies-uds1-nod-v3,916674,1,G395M,3,6.0731,6.074,Redshift matches rubies-uds1-v3_g395m-f290lp_4233_916674 z=6.0659,DKo24  z=N/A,1,0.99,2.65,5.29,,12.0,,42.09,41.81,,,,FITS   zfit   spl,,,16358,34.254148,-5.290013,34615.406,5313.003,107.0,0.96,0.0,3.042,0.06846,0.00427,2.353311,0.083201,87.718047,18.826488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165,0.01853,0.017,0.03251,0.02611,0.05764,0.07827,0.165,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.00754,0.0077,0.0064,0.00556,0.00434,0.0046,0.00712,0.00562,0.28,8,16358,34.254148,-5.290013,6.074,6.074,6.074,6.074,6.074,8,0.0,3740,3,0.09816609515382323,-0.9671207732033155,1.2392609801501147,0.35279216491792625,0.7996301707214971,28.230311451702754,28.323877696554312,27.619957576259683,27.857982820442636,26.99819006964512,26.66601166545029,25.856290139465234,Both,true
j021658.49m051617.18,2,15504,34.2437,-5.271438,rubies-uds1-nod-v3_prism-clear_4233_928474.spec.fits,rubies-uds1-nod-v3,928474,1,G395M,3,6.9314,6.932,Redshift matches rubies-uds1-v3_prism-clear_4233_928474 z=6.9312,DKo24  z=N/A,1,1.05,0.6,5.29,-0.7,13.3,,42.56,42.07,,,,FITS   zfit   spl,,,26762,34.243688,-5.2714,35865.672,7546.361,117.0,0.96,0.0,2.982,0.06452,0.00288,2.361942,0.088799,74.79318,18.895533,-0.00204,-0.01056,0.0,0.00434,0.0,-0.00293,0.03557,0.01329,0.00301,0.01088,0.0094,0.00532,0.01548,0.04927,0.09387,0.09578,0.01156,0.00652,-99.0,0.00743,-99.0,0.01138,0.02164,0.00871,0.0051,0.00545,0.00454,0.00372,0.00251,0.0024,0.00443,0.00334,0.28,2,26762,34.243688,-5.2714,6.932,6.932,6.932,6.932,6.932,2,0.0,3742,3,0.14340407046275122,-2.3307262439820224,1.3505253819859169,1.9030499489629529,1.799151506668639,28.808427761594594,28.96718036600075,29.585220919262376,28.425572609132814,27.168543594312727,26.46868295533536,26.446812918233526,KOV24,true
j021704.61m051450.58,4,15507,34.269226,-5.247384,rubies-uds1-nod-v3_prism-clear_4233_945401.spec.fits,rubies-uds1-nod-v3,945401,1,G395M,0,6.6124,6.7681,,-,0,-0.13,0.76,5.29,-0.1,4.0,,41.85,42.34,,,,FITS   zfit   spl,,,40190,34.269205,-5.247359,32817.098,10431.813,83.0,0.98,0.0,3.514,0.04763,0.00466,2.317523,0.208149,78.607343,18.540184,3.2E-4,-0.00319,0.0,-0.00911,0.0,0.01205,-7.2E-4,0.02244,0.00691,0.01326,0.01336,0.00778,0.01075,0.02865,0.03687,0.05922,0.0062,0.00377,-99.0,0.004,-99.0,0.00993,0.01414,0.00844,0.0053,0.00545,0.00444,0.00398,0.0031,0.00292,0.00527,0.00393,0.28,2,40190,34.269205,-5.247359,-99.0,7.75,7.819,6.365,6.366,2,0.0,3745,5,0.11733522769374613,-2.4324876378476965,0.8889101169708737,-0.5811874285616637,0.16602481338980898,28.593641189828112,28.58548385465118,29.172551007525776,28.82147883937094,27.757188434241478,27.483317155984707,26.9688289923668,KOV24,true
j021712.88m051433.60,2,15557,34.303648,-5.242665,rubies-uds3-nod-v3_prism-clear_4233_42289.spec.fits,rubies-uds3-nod-v3,42289,1,G395M,3,3.7071,3.7072000000000003,Redshift matches rubies-uds3-v3_g395m-f290lp_4233_42289 z=3.6994,-,0,1.85,0.6,5.29,,29.7,25.5,42.06,42.16,,,,FITS   zfit   spl,,,42697,34.303624,-5.242649,28704.086,10997.643,143.0,0.96,0.0,3.016,0.10214,0.00373,2.6143,0.138018,77.858269,20.914404,0.00515,0.02096,0.0,0.03243,0.0,0.00878,0.02835,0.01369,0.02611,0.01699,0.02229,0.03136,0.09742,0.09886,0.12923,0.14157,0.00867,0.00364,-99.0,0.00452,-99.0,0.01172,0.01577,0.0098,0.00675,0.00664,0.00536,0.00458,0.00363,0.00338,0.00605,0.00439,0.28,2,42697,34.303624,-5.242649,-99.0,4.325,4.296,3.635,3.635,2,0.0,4254,3,0.1035393331161313,-2.7202697390182538,0.00168713589113767,-0.2881666513711528,-0.22152471955575626,28.324516552827383,28.029724828799402,27.659059864968995,26.42837968691062,26.412448484688102,26.121591639187173,26.022571919843468,Both,true
j021703.50m051357.31,2,15596,34.264602,-5.232586,rubies-uds3-nod-v3_prism-clear_4233_47509.spec.fits,rubies-uds3-nod-v3,47509,1,G395M,3,5.6754,5.676,Redshift matches rubies-uds3-v3_prism-clear_4233_47509 z=5.6752,DKo24  z=5.680,1,4.45,0.6,5.29,-0.5,48.5,,42.88,42.81,,,,FITS   zfit   spl,,,47866,34.264582,-5.232545,33369.781,12209.474,297.0,0.99,1.0,3.559,0.30872,0.0069,3.629791,0.199744,68.715703,29.038326,0.00612,-0.00278,0.0,0.01485,0.0,0.06804,0.06198,0.08343,0.04939,0.04888,0.06007,0.06223,0.09312,0.24676,0.21309,0.39413,0.00788,0.00467,-99.0,0.00504,-99.0,0.01232,0.02266,0.01066,0.00957,0.00909,0.0078,0.00669,0.00775,0.00597,0.00999,0.00755,0.33,102,47866,34.264582,-5.232545,5.676,5.676,5.676,5.676,5.676,102,0.0,4265,3,0.16409339935360223,-1.6832469619708168,0.12353443496538599,0.057523272869519124,0.11104799089502702,27.177172006913754,26.95335592013161,26.915000497538824,26.477392581735465,25.419313096070145,25.578592326520706,24.91090126668916,Both,true
j021715.16m051336.41,2,15619,34.313154,-5.226781,rubies-uds3-nod-v3_prism-clear_4233_50716.spec.fits,rubies-uds3-nod-v3,50716,1,G395M,3,6.1774,6.179,Redshift matches rubies-uds3-v3_g395m-f290lp_4233_50716 z=6.1693,DKo24  z=6.170,1,1.53,0.6,5.29,-2.2,21.0,,42.35,42.14,,,,FITS   zfit   spl,,,50979,34.31313,-5.226766,27568.41,12903.655,229.0,0.98,0.0,3.178,0.10946,0.00333,3.162563,0.132751,-72.891648,25.300507,-0.00599,-0.00132,0.0,-0.00128,0.0,0.0127,-0.00486,0.01932,0.00295,0.00875,0.00828,0.01325,0.0224,0.06976,0.08636,0.1454,0.00658,0.00284,-99.0,0.00206,-99.0,0.00951,0.02026,0.01059,0.00407,0.00396,0.00326,0.00275,0.00215,0.00219,0.00379,0.00281,0.28,2,50979,34.31313,-5.226766,6.179,6.179,6.179,6.179,6.179,2,0.0,4271,3,0.10158252576304794,-1.3900306369934876,1.4210443655929297,1.3278074897846923,1.4412833150211137,29.044979867444216,29.104924158037797,28.594460304317934,28.02437995416459,26.79098382018872,26.559218415844516,25.99358898369245,Both,true
j021715.43m051323.72,2,15779,34.314311,-5.223255,rubies-uds3-nod-v3_prism-clear_4233_960332.spec.fits,rubies-uds3-nod-v3,960332,1,G395M,3,7.1279,7.129,Redshift matches rubies-uds3-v3_prism-clear_4233_960332 z=7.1285,-,0,1.04,0.6,5.29,-0.3,,,,42.56,,,,FITS   zfit   spl,,,52799,34.314287,-5.223236,27430.076,13327.345,139.0,0.86,0.0,3.708,0.06358,0.0035,2.978696,0.228701,-62.310738,23.829565,0.00688,0.00196,0.0,-4.8E-4,0.0,0.04289,0.04506,0.04277,5.5E-4,0.03079,0.04006,0.03359,0.03543,0.03847,0.11215,0.06464,0.00613,0.00229,-99.0,0.00179,-99.0,0.00873,0.01708,0.01061,0.00452,0.00445,0.00374,0.00325,0.00233,0.00228,0.00442,0.00306,0.28,2,52799,34.314287,-5.223236,7.129,7.129,7.129,7.129,7.129,2,0.0,4315,3,0.1099165724895781,-2.1060265224519807,0.05293045085339132,-1.9400135908500975,-0.18100131522878016,27.678975777742004,27.393222637606105,27.584474990395837,27.526572119167056,27.437194534232958,26.27550180520253,26.873746630583675,KOV24,true
j021702.50m051450.72,2,15807,34.260431,-5.247423,rubies-uds2-nod-v3_prism-clear_4233_39476.spec.fits,rubies-uds2-nod-v3,39476,1,G395M,3,7.2882,7.284,Redshift matches rubies-uds2-v3_g395m-f290lp_4233_39476 z=7.2921,-,0,0.59,0.6,5.29,-1.2,,,,42.04,,,,FITS   zfit   spl,,,40202,34.260408,-5.247401,33868.27,10426.591,68.0,0.94,0.0,4.201,0.04022,0.00583,2.664588,0.367224,-13.322588,21.316706,-0.00243,-0.00709,0.0,-0.00826,0.0,0.01814,0.03591,-0.00611,8.0E-4,0.01757,0.01269,0.00701,0.00891,0.03339,0.08188,0.08083,0.01437,0.0077,-99.0,0.00758,-99.0,0.01632,0.03464,0.01399,0.01297,0.01372,0.01053,0.00848,0.00613,0.00606,0.01103,0.0078,0.28,2,40202,34.260408,-5.247401,7.284,7.284,7.284,7.284,7.284,2,0.0,3776,3,0.11432906709830151,-2.9722473027684995,1.4789088903750407,3.2650959878191848,2.7036008159658556,28.28807059626176,28.641345944763238,29.285704955083354,29.02530573990781,27.590958952364073,26.617055415023827,26.631068553003622,KOV24,true
j021717.79m051510.04,2,16321,34.324122,-5.252789,rubies-uds43-nod-v3_prism-clear_4233_40800.spec.fits,rubies-uds43-nod-v3,40800,1,G395M,3,4.9871,4.9864,Redshift matches rubies-uds43-v3_g395m-f290lp_4233_40800 z=4.9831,DKo24  z=N/A,1,1.29,0.6,5.29,3.2,11.5,,41.7,41.4,,,,FITS   zfit   spl,,,37072,34.3241,-5.252775,26257.211,9782.682,110.0,0.98,0.0,3.021,0.04909,0.00241,2.522432,0.112413,-52.075249,20.179457,-0.00409,0.00122,0.0,0.00443,0.0,-0.00843,-0.00166,-0.00625,0.00379,0.00389,0.01827,0.00518,0.01969,0.04414,0.08886,0.08268,0.01034,0.00336,-99.0,0.00235,-99.0,0.0098,0.02428,0.00833,0.00442,0.0045,0.0038,0.00305,0.00259,0.00233,0.00432,0.00321,0.28,2,37072,34.3241,-5.252775,-99.0,7.575,7.131,5.369,5.373,2,0.0,4677,3,0.09359608173728366,-1.4906597360463407,1.5069922462649326,1.4547750744966712,1.8362839237129638,29.92512599668573,28.245653631618655,29.614175600636916,28.164385709654702,27.28791917793591,26.52823422773787,26.60649883011187,Both,true
j001420.05m302348.04,1,16414,3.583535,-30.396679,uncover-v3_prism-clear_2561_15383.spec.fits,uncover-v3,15383,0,,3,7.0315,7.038,Redshift matches uncover-v2_prism-clear_2561_15383 z=7.0353,LFu22  z=N/A,1,16.0,0.6,5.29,1.5,32.0,,42.54,40.53,,,,FITS   zfit   spl,,,12048,3.583537,-30.396675,9646.323,8184.101,322.0,0.98,3.0,3.707,0.21857,0.00129,3.492031,0.027831,45.376429,27.936251,-0.00154,0.01298,0.0,0.02118,0.06005,0.07296,0.07633,0.08487,0.02901,0.05012,0.0622,0.0763,0.06174,0.15357,0.24697,0.30539,0.00237,0.00186,-99.0,0.00138,0.00163,0.00238,0.00224,0.00212,0.00391,0.00216,0.00227,0.00182,0.00107,0.00119,0.00265,0.0015,0.33,301,12048,3.583537,-30.396675,7.038,7.038,7.038,7.038,7.038,301,0.0,,,0.01568208999080545,-1.9322646203582203,1.211640891312474,1.4383584798778877,1.3554931441028415,27.14997234419472,26.915524038272952,26.693688655112798,26.92358343713481,25.93423403932523,25.41838949565393,25.187862970064767,Both,true
j001423.33m302339.58,1,16423,3.597203,-30.394329,uncover-v3_prism-clear_2561_16594.spec.fits,uncover-v3,16594,0,,3,7.0315,7.04,Redshift matches uncover-v2_prism-clear_2561_16594 z=7.0353,LFu22  z=N/A ;  DKo24  z=N/A,2,6.64,0.6,5.29,1.9,23.2,,42.14,40.6,,,,FITS   zfit   spl,,,12781,3.59721,-30.394332,8279.658,8455.201,228.0,0.96,0.0,3.15,0.06016,0.00121,3.289842,0.209339,52.779305,26.318735,-0.00122,-6.3E-4,0.0,-4.5E-4,0.00479,0.00788,0.00702,0.00653,0.0,0.00757,0.01135,0.00921,0.00931,0.0428,0.07476,0.08956,0.00189,0.00146,-99.0,0.00112,0.00142,0.00206,0.00194,0.00184,-99.0,0.0019,0.00158,0.00159,8.1E-4,9.0E-4,0.00172,0.00119,0.28,11,12781,3.59721,-30.394332,7.04,7.04,7.04,7.04,7.04,11,0.0,,,0.02427179533411806,-1.7398997087560093,1.5015248569998942,3.7831138441667025,3.0135059502249146,29.202260301249815,28.762510346177145,28.989350924507875,28.977625797546644,27.321390577467067,26.71582676823301,26.519714787732518,Both,true
j001433.70m302311.18,1,16473,3.640408,-30.386438,uncover-v3_prism-clear_2561_20466.spec.fits,uncover-v3,20466,0,,3,8.5039,8.503,Redshifts match v2 grade=3,DKo24  z=8.500,1,2.17,0.6,5.29,5.8,,,,42.65,,,,FITS   zfit   spl,,,15122,3.640415,-30.386432,3960.662,9368.246,151.0,0.96,2.0,2.851,0.05533,0.00222,2.373121,0.067096,78.434355,18.984968,0.0,0.00372,0.0,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0087,0.01095,0.01176,0.01632,0.03052,0.06705,0.10446,-99.0,0.00901,-99.0,0.01345,-99.0,-99.0,-99.0,-99.0,-99.0,0.0028,0.00227,0.00232,0.00148,0.00162,0.00275,0.00217,0.28,316,15122,3.640415,-30.386432,8.503,8.503,8.503,8.503,8.503,316,0.0,,,0.030645006503156578,-1.3416332484977542,1.8020828966063502,0.4948499933267255,1.6034286447188861,29.051201868453454,28.801464702059654,28.723981695649698,28.368199613955394,27.68853867679289,26.834003044530952,26.352624946247563,Both,true
j001416.70m302223.60,1,16568,3.569597,-30.373223,uncover-v3_prism-clear_2561_28876.spec.fits,uncover-v3,28876,0,,3,7.038,7.037,Redshifts match v2 grade=3,DKo24  z=7.040,1,3.7,0.6,5.29,1.2,25.8,,42.42,41.19,,,,FITS   zfit   spl,,,20020,3.569592,-30.373218,11039.884,10902.398,129.0,0.96,0.0,2.809,0.03796,0.00155,2.522455,0.127274,81.657721,20.179644,-0.00186,6.5E-4,0.0,-0.0042,0.00479,0.01249,0.0,0.0164,0.0,0.00871,0.00849,0.00983,0.01066,0.03121,0.05489,0.06219,0.00378,0.00203,-99.0,0.00263,0.01404,0.01273,-99.0,0.02337,-99.0,0.00262,0.00218,0.00225,0.00122,0.00139,0.00225,0.00168,0.28,12,20020,3.569592,-30.373218,7.037,7.037,7.037,7.037,7.037,12,0.0,,,0.02377320804590123,-1.7399462827422771,1.2429104871382544,1.8213879332174823,1.597197963160591,29.04995461248084,29.077730774390115,28.91861620541966,28.830606988273615,27.664265578336668,27.05126692304596,26.915698607966192,Both,true
j001407.20m302128.85,1,16695,3.530009,-30.358013,uncover-v3_prism-clear_2561_38108.spec.fits,uncover-v3,38108,0,,3,4.962,4.96,Redshifts match v2 grade=3,DKo24  z=4.960,1,8.81,0.6,5.29,2.6,71.3,,42.66,42.24,,,,FITS   zfit   spl,,,25363,3.530005,-30.358015,14997.866,12663.792,599.0,0.99,3.0,3.056,0.36277,0.00109,3.837839,0.112438,-72.903211,30.702709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04018,0.03981,0.04375,0.04582,0.13256,0.30868,0.56265,0.40222,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.00162,0.00156,0.00183,0.00169,9.5E-4,0.00118,0.00398,8.5E-4,0.33,10308,25363,3.530005,-30.358015,4.96,4.96,4.96,4.96,4.96,10308,0.0,,,0.014360845293719112,-1.8150647605873813,0.18298162995826056,0.2758147609479993,0.302659266326178,27.400019556039755,27.29755485660417,27.24736228786655,26.093968761471796,25.176228771055207,24.52440419198399,24.888840845824536,Both,true
j001428.61m302523.77,1,16756,3.619201,-30.42327,uncover-v3_prism-clear_2561_4286.spec.fits,uncover-v3,4286,0,,3,5.8353,5.837,Redshifts match v2 grade=3,DKo24  z=5.840,1,9.49,0.6,5.29,7.7,68.5,,42.95,42.37,,,,FITS   zfit   spl,,,4992,3.6192,-30.423266,6083.557,5101.458,452.0,0.98,0.0,3.076,0.23609,0.00195,3.370403,0.041202,-20.816862,26.963223,0.0,0.02838,0.0,0.00705,0.01096,0.05225,0.0,-0.00682,0.03328,0.02343,0.03155,0.02986,0.05939,0.16747,0.0,0.35795,-99.0,0.01648,-99.0,0.47499,0.017,0.01589,-99.0,0.02041,0.00396,0.00367,0.00539,0.00251,0.00166,0.00185,-99.0,0.00249,0.5,10013,4992,3.6192,-30.423266,5.837,5.837,5.837,5.837,5.837,10013,0.0,,,0.014730809038216415,-2.128451621242546,0.8501616174381685,1.2138707512152425,-99.0,27.975569278507592,27.652501591049617,27.712275491527482,26.965716686807443,25.840157449200042,,25.015444083115366,Both,true
j001411.45m302001.33,1,16826,3.547714,-30.333702,uncover-v3_prism-clear_2561_49702.spec.fits,uncover-v3,49702,0,,3,4.8756,4.874,Redshifts match v2 grade=3,-,0,5.0,0.6,5.29,-0.4,46.0,,42.08,41.73,,,,FITS   zfit   spl,,,33502,3.547699,-30.333699,13228.918,15481.718,230.0,0.98,2.0,2.833,0.08592,0.00298,3.189747,0.218041,27.109633,25.517977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01097,0.00742,0.01424,0.04717,0.09816,0.11826,0.11663,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.00438,0.00361,0.00365,0.00223,0.0025,0.00413,0.00306,0.28,18,33502,3.547699,-30.333699,4.874,4.874,4.874,4.874,4.874,18,0.0,,,0.04784227125127646,-1.5038664721166248,0.44586653655494923,0.5211331062136605,0.3588934393097762,28.799483431063223,29.223990236802432,28.516225026747904,27.215835309385746,26.420163625702628,26.217905313342282,26.232974310935415,Both,true
j033229.36m274601.95,4,18274,53.122325,-27.767209,jades-gds-wide-v3_prism-clear_1180_12314.spec.fits,jades-gds-wide-v3,12314,3,G140M   G235M   G395M,3,2.6335,2.645,Redshifts match v2 grade=3,-,0,5.75,0.6,5.29,,33.1,38.9,41.92,42.32,,,,FITS   zfit   spl,,,61357,53.122322,-27.767215,11973.296,21345.699,202.0,0.98,0.0,3.582,0.11881,0.00398,3.198706,0.178501,-67.856328,25.589647,0.02943,0.05134,0.03791,0.05417,0.05928,0.06812,0.06842,0.10151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12036,0.00236,0.00261,0.00552,0.00237,0.00334,0.00409,0.01772,0.00505,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.00269,0.28,70,61357,53.122322,-27.767215,2.645,2.645,2.645,2.645,2.645,70,0.0,2706,3,0.023619566657631506,-1.4908139227980186,1.9895062269000097,-99.0,-99.0,,,,,,,26.198794552329893,KOV24,true
j033231.84m274555.73,4,18283,53.132669,-27.765482,jades-gds-wide-v3_prism-clear_1180_12402.spec.fits,jades-gds-wide-v3,12402,3,G140M   G235M   G395M,3,3.2379,3.201,interactive fit -1 75 1.3 13 broad lines,-,0,17.67,0.6,5.29,,8.5,8.3,41.54,41.58,,,,FITS   zfit   spl,,,61848,53.132662,-27.765486,10875.121,21553.201,1030.0,0.99,0.0,3.017,0.71034,0.00172,4.330508,0.09488,76.529394,34.644062,-0.00408,0.0147,0.00764,0.01862,0.02147,0.01836,0.04298,0.03703,0.02564,0.03036,0.04975,0.22555,0.64731,0.68651,0.78799,0.83721,0.0039,0.0043,0.0092,0.00428,0.00403,0.00549,0.0215,0.00667,0.00308,0.00218,0.00252,0.00226,0.00216,0.0019,0.00344,0.00242,0.66,10000,61848,53.132662,-27.765486,3.201,3.201,3.201,3.201,3.201,10000,0.0,2711,3,0.02654399832355876,-0.8579194841132312,1.748998084743416,0.3113750574252265,-0.16948076962167222,27.69424558194139,27.15801728729564,25.516892921415675,24.372219209277077,24.308382830652228,24.15869823474177,24.092913982250952,Both,true
j142002.04p525840.70,1,19114,215.008489,52.977973,ceers-v3_prism-clear_1345_2355.spec.fits,ceers-v3,2355,0,,3,6.1184,6.118,,DKo24  z=N/A,1,0.86,0.6,5.29,-0.6,7.8,,41.83,41.95,,,,FITS   zfit   spl,,,71471,215.008488,52.977972,8397.446,11232.949,341.0,0.99,3.0,3.254,0.14959,0.00291,3.45554,0.049344,43.710354,27.64432,0.0,-0.00841,0.0,-0.00271,0.0,0.00702,0.0,0.02295,0.0,0.03264,0.02976,0.03113,0.05,0.11273,0.09855,0.23797,-99.0,0.00374,-99.0,0.00446,-99.0,0.01139,-99.0,0.00936,-99.0,0.00323,0.00372,0.00285,0.00221,0.00214,0.00392,0.00303,0.33,314,71471,215.008488,52.977972,6.118,6.118,6.118,6.118,6.118,314,0.0,,,0.00420222080415562,-2.1076427053767794,0.6036338014218101,-0.2815531417487738,-0.2696444440257791,27.61562462479544,27.715917682815395,27.66705219829371,27.15257498915995,26.26990123249632,26.415858428461345,25.458694473489718,Both,true
