oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux
260.402,176.882,370.7755,698.1885,135.9534,105.6849,31.40649
34.19659,155.7993,238.4679,663.3118,83.3502,62.93087,11.93489
175.0136,388.3332,1833.158,2045.965,411.7717,390.1996,124.1446
50.60595,52.94041,150.6315,217.1085,92.84619,60.20611,20.38449
204.844,166.9907,78.69697,534.9504,124.0369,87.96091,15.48616
73.51852,44.94312,134.644,228.4964,75.09125,50.7422,15.59282
63.72897,126.7173,299.9473,604.2192,97.10068,72.79106,22.10293
63.35176,73.49668,128.4142,269.9851,45.62318,37.3764,9.707685
103.394,326.7301,500.3445,1356.856,233.3466,173.7282,38.83697
317.4812,223.5505,121.0364,719.1477,106.5844,73.55893,15.17746
210.2475,153.7989,110.3072,532.7146,107.3611,67.50478,15.64918
39.33164,29.57517,117.2667,83.74379,50.64939,41.3779,10.66452
271.4465,447.5024,608.0377,1918.935,349.6766,254.1007,52.57877
48.54372,19.718,111.7676,113.4781,52.1427,34.41917,22.61606
162.7971,519.0616,985.9525,2160.269,378.025,275.3656,64.41285
12.34933,74.52341,120.5163,327.0716,43.38406,35.16462,8.150779
124.0427,245.1055,817.2435,1469.693,212.0391,185.0202,42.16172
73.02728,194.1673,269.8942,779.9929,144.868,102.1137,29.08529
20.84414,45.48576,136.9395,263.8785,57.36412,42.26991,9.270379
28.17535,19.69757,93.94353,58.08323,34.11089,22.25587,10.13182
35.27705,18.72506,38.7692,50.71684,18.89418,5.138677,7.130176
32.71778,127.3945,197.2959,465.7883,88.63655,62.75495,14.49014
198.4433,38.03241,153.9473,168.5363,50.94526,34.89833,15.57469
29.0619,24.69104,82.42521,103.8396,49.73191,32.26764,15.40366
30.11679,10.11897,62.40207,65.85497,27.58413,21.01093,6.404722
30.64939,63.819,122.5506,254.6909,63.85899,41.00517,9.909029
36.6974,105.4555,258.9602,515.1827,85.14581,59.5939,13.0542
35.74535,166.8731,290.1714,767.6094,101.4381,76.04952,19.12498
851.0372,116.7231,361.9629,473.2369,125.1844,93.44914,42.04135
20.82813,91.00912,180.1048,505.9532,52.1663,42.53757,10.0625
22.88543,78.19126,132.8213,321.7082,43.21201,36.20007,13.01113
749.3721,416.1226,266.2653,1592.957,238.8376,170.0333,43.72452
32.2065,26.61589,71.18652,108.6885,35.43071,28.26929,10.75276
105.7755,154.0991,124.3235,444.3417,104.7022,74.14394,17.70873
