ID,RAdeg,DEdeg,zspec_1,l_MUVmag,MUVmag,E_MUVmag_1,e_MUVmag_1a,l_logMstar,logMstar,E_logMstar_1,e_logMstar_1a,l_logSFR,logSFR,E_logSFR_1,e_logSFR_1a,EWHb,e_EWHb,l_R3,R3,e_R3,l_R23,R23,e_R23,l_O32,O32,e_O32,logOH,E_logOH_1,e_logOH_1a,PFlag,MFlag,Note,ID_1,RA_1,DEC_1,X,Y,isoarea_SE,class_starSE,flags_SE,r50_SE,f_autoSE,e_autoSE,a_f001w,ell_f001w,theta_f001w,rKron_f001w,f_f435w,f_f606w,f_f775w,f_f814w,f_f105w,f_f125w,f_f140w,f_f160w,f_f090w,f_f115w,f_f150w,f_f200w,f_f277w,f_f356w,f_f410m,f_f444w,e_f435w,e_f606w,e_f775w,e_f814w,e_f105w,e_f125w,e_f140w,e_f160w,e_f090w,e_f115w,e_f150w,e_f200w,e_f277w,e_f356w,e_f410m,e_f444w,apopt,flag_1,ID_2,RA_2,DEC_2,zspec_2,zphot,EAzY_eazy_v13,EAzY_Larson,EAzY_LarsonLyaRed,flag_2,Separation_2,Separation_1,jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,comment,References,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,FITS,Fnu,Flam,Separation
CEERS_00362,214.812689,52.881536,6.051,,-18.55,0.03,0.28,,7.34,0.31,0.17,,0.49,0.08,0.11,252,99,,4.8,1.1,,6.4,1.5,>,6.3,,7.48,0.22,0.21,1,R23,,59179,214.812693,52.881536,26387.682,14528.298,111.0,0.91,0.0,3.61,0.02581,0.00199,3.247307,0.408519,30.171094,25.978455,0.0,-0.00146,0.0,0.00505,0.0,3.6E-4,0.0,0.00431,0.0,0.01134,0.00923,0.00702,0.0096,0.01752,0.00698,0.01383,-99.0,0.00266,-99.0,0.00382,-99.0,0.00553,-99.0,0.00466,-99.0,0.00161,0.00187,0.00162,0.00125,0.00114,0.00235,0.00206,0.28,114,59179,214.812693,52.881536,6.051,6.051,6.051,6.051,6.051,114,0.0,0.008689895747191544,j141915.04p525253.54,3,21748,214.812689,52.881536,ceers-v3_prism-clear_1345_362.spec.fits,ceers-v3,362,0,,3,6.0505,6.0505,Redshifts match v2 grade=3,KNa23  z=6.051,1,1.28,0.6,5.29,-1.0,14.0,,42.19,42.54,,,,FITS   zfit   spl,,,0.0
CEERS_00381,214.819671,52.879755,5.513,,-18.54,0.34,0.89,,9.03,0.11,0.12,,0.74,0.12,0.17,81,33,,4.0,1.4,,5.5,1.9,>,2.8,,7.79,0.29,0.28,1,R23,No=2,65127,214.819672,52.879755,26223.896,14004.562,203.0,0.06,0.0,6.18,0.05825,0.00421,3.947047,0.206284,-15.425954,31.576378,0.0,-0.0133,0.0,0.02244,0.0,0.01047,0.0,0.02148,0.0,0.02522,0.0315,0.02084,0.04695,0.06089,0.07838,0.05373,-99.0,0.0085,-99.0,0.01013,-99.0,0.01844,-99.0,0.01556,-99.0,0.00478,0.0056,0.00486,0.00403,0.00346,0.00662,0.00509,0.28,114,65127,214.819672,52.879755,5.513,5.513,5.513,5.513,5.513,114,0.0,0.002172563180267995,j141916.72p525247.12,4,16188,214.819671,52.879755,ceers-v3_g395m-f290lp_1345_381.spec.fits,ceers-v3,381,0,,3,5.5083,5.5083,Redshifts match v2 grade=3,KNa23  z=5.513,1,0.26,2.95,5.2,,11.5,,42.04,42.27,,,,FITS   zfit   spl,,,0.0
CEERS_00386,214.832184,52.885083,6.618,,-18.48,0.81,0.32,,7.6,0.54,0.29,,,,,38,93,>,5.2,,,,,,,,7.97,0.27,0.27,1,R3,No=2,68543,214.832176,52.88508,25150.871,13727.294,110.0,0.96,0.0,5.179,0.03602,0.00345,2.518944,0.091754,61.226705,20.15155,0.0,-0.00111,0.0,-0.00207,0.0,0.02457,0.0,4.8E-4,0.0,0.0182,0.01872,0.01991,0.01873,0.03725,0.01661,0.02075,-99.0,0.00427,-99.0,0.00566,-99.0,0.01287,-99.0,0.01123,-99.0,0.003,0.00366,0.0032,0.00235,0.00234,0.00408,0.00332,0.28,14,68543,214.832176,52.88508,6.618,6.618,6.618,6.618,6.618,14,0.0,0.020460883632764784,j141919.72p525306.30,4,16189,214.832184,52.885083,ceers-v3_g395m-f290lp_1345_386.spec.fits,ceers-v3,386,0,,3,6.6149,6.6149,Redshift matches ceers-v3_prism-clear_1345_386 z=6.6200,KNa23  z=6.618,1,-0.26,2.88,5.2,,4.9,,41.84,42.02,,,,FITS   zfit   spl,,,0.010799999996903249
CEERS_00397,214.836197,52.882693,6.005,,-21.23,0.17,0.24,,8.45,0.53,0.06,,1.76,0.02,0.03,139,18,,7.5,0.5,,11.0,0.7,,6.7,0.9,7.87,0.14,0.14,1,R23,"No=2, Broad",61841,214.836193,52.882691,25181.377,13320.046,814.0,0.32,0.0,5.556,0.45862,0.00435,7.295952,0.436199,-12.317531,58.367619,0.0,0.00641,0.0,0.05003,0.0,0.2624,0.0,0.20963,0.0,0.2611,0.22769,0.23358,0.28129,0.53355,0.21608,0.38632,-99.0,0.00619,-99.0,0.00801,-99.0,0.01542,-99.0,0.01309,-99.0,0.00441,0.00539,0.00474,0.00351,0.00366,0.00635,0.00476,0.5,14,61841,214.836193,52.882691,6.005,6.005,6.005,6.005,6.005,14,0.0,0.011284957325513557,j141920.69p525257.70,6,21965,214.836197,52.882693,ceers-v3_g140m-f100lp_1345_397.spec.fits,ceers-v3,397,0,,3,5.9983,5.9983,Redshifts match v2 grade=3,YIs23  z=6.000 ;  KNa23  z=6.005 ;  RSa23  z=6.000,3,1.91,1.01,1.88,,,,,,,,,FITS   zfit   spl,,,0.007200000005568831
CEERS_00403,214.828968,52.875701,5.766,,-20.3,0.69,0.28,,9.35,0.27,0.09,,1.2,0.06,0.07,34,8,,5.7,0.9,,10.9,1.7,,1.6,0.2,8.11,0.18,0.17,1,R23,No=2,77498,214.828963,52.875701,26159.686,13176.765,559.0,0.03,0.0,5.617,0.26454,0.0037,5.288775,0.231756,77.880147,42.3102,0.0,0.00132,0.0,0.03301,0.0,0.11006,0.0,0.1262,0.0,0.10541,0.1163,0.13586,0.20667,0.2866,0.21479,0.29288,-99.0,0.0063,-99.0,0.00809,-99.0,0.01532,-99.0,0.01313,-99.0,0.00411,0.0051,0.00437,0.00366,0.00324,0.00605,0.00471,0.5,14,77498,214.828963,52.875701,5.766,5.766,5.766,5.766,5.766,14,0.0,0.01086383140685154,j141918.95p525232.52,4,16197,214.828968,52.875701,ceers-v3_g235m-f170lp_1345_403.spec.fits,ceers-v3,403,0,,3,5.7621,5.7621,Redshifts match v2 grade=3,KNa23  z=5.766 ;  YIs23  z=5.761,2,1.21,1.7,3.15,,,,,,,,,FITS   zfit   spl,,,0.0
CEERS_00407,214.839316,52.882565,7.029,,-18.55,0.11,0.48,,7.61,0.81,0.28,,0.54,0.09,0.12,219,117,,6.5,1.6,,8.5,2.1,>,6.5,,7.71,0.36,0.28,1,R23,,62626,214.839314,52.882569,25046.318,13138.213,87.0,0.96,0.0,2.988,0.02068,0.0018,2.233111,0.129916,-31.014275,17.864885,0.0,-0.00165,0.0,4.2E-4,0.0,0.00273,0.0,0.01281,0.0,0.01034,0.0128,0.00886,0.00766,0.01309,0.04003,0.02407,-99.0,0.00249,-99.0,0.0031,-99.0,0.01026,-99.0,0.00765,-99.0,0.00157,0.0019,0.0016,0.00123,0.00117,0.00223,0.0018,0.28,14,62626,214.839314,52.882569,7.029,7.029,7.029,7.029,7.029,14,0.0,0.015041199226922403,j141921.44p525257.23,3,16199,214.839316,52.882565,ceers-v3_g395m-f290lp_1345_407.spec.fits,ceers-v3,407,0,,3,7.0294,7.0294,,KNa23  z=7.029 ;  MTa23  z=7.028,2,0.21,2.88,5.2,,,,,42.52,,,,FITS   zfit   spl,,,0.014399999988237667
CEERS_00439,214.825364,52.863065,7.179,,-19.28,0.08,0.22,,7.45,0.4,0.05,,,,,233,42,,5.9,1.0,,,,,,,7.71,0.37,0.29,1,R3,,61211,214.825355,52.863063,27485.289,12395.144,109.0,0.96,0.0,3.339,0.02498,0.00207,2.810349,0.255399,17.017638,22.482796,0.0,-7.1E-4,0.0,-0.00284,0.0,0.02049,0.0,0.01908,0.0,0.02032,0.01836,0.01413,0.0158,0.01641,0.05363,0.0291,-99.0,0.00234,-99.0,0.00272,-99.0,0.00775,-99.0,0.00639,-99.0,0.00184,0.00224,0.00188,0.00136,0.00128,0.00282,0.00193,0.28,14,61211,214.825355,52.863063,7.179,7.179,7.179,7.179,7.179,14,0.0,0.020843627994946993,j141918.09p525147.03,1,19343,214.825364,52.863065,ceers-v3_prism-clear_1345_439.spec.fits,ceers-v3,439,0,,3,7.1793,7.1793,Redshift matches ceers-v2_prism-clear_1345_439 z=7.1791,KNa23  z=7.179 ;  KEHe22  z=7.179,2,0.54,0.6,5.29,2.8,,,,42.6,,,,FITS   zfit   spl,,,0.007200000005568831
CEERS_00498,214.813045,52.834249,7.179,,-20.2,0.05,0.22,,7.82,0.32,0.05,,,,,232,58,,4.5,1.2,,,,,,,7.47,0.3,0.29,1,R3,,74170,214.813044,52.834248,30699.648,10839.389,190.0,0.99,2.0,3.705,0.06204,0.00306,3.308254,0.217896,-29.173186,26.466032,0.0,-0.00316,0.0,-5.6E-4,0.03053,0.04597,0.0,0.06795,0.0,0.06682,0.0669,0.05069,0.04834,0.04866,0.16658,0.10294,-99.0,0.00379,-99.0,0.00437,0.00736,0.01003,-99.0,0.00827,-99.0,0.00261,0.0033,0.00274,0.00209,0.00186,0.00355,0.00318,0.28,313,74170,214.813044,52.834248,7.179,7.179,7.179,7.179,7.179,313,0.0,0.004205940956498663,j141915.13p525003.15,4,22190,214.813045,52.834249,ceers-v3_prism-clear_1345_498.spec.fits,ceers-v3,498,0,,3,7.1793,7.1793,Redshifts match v2 grade=3,MTa23  z=7.180 ;  KNa23  z=7.179,2,1.44,0.6,5.29,-1.0,,,,42.48,,,,FITS   zfit   spl,,,0.0035999999913344186
CEERS_00515,214.878534,52.874142,5.664,,-16.89,0.98,2.12,,8.48,0.21,0.36,,0.65,0.07,0.09,96,41,,5.0,0.9,,6.6,1.3,,,,8.41,0.19,0.17,1,R23,,78339,214.878529,52.874144,23979.141,10318.883,85.0,0.95,0.0,2.737,0.01914,0.00115,2.107847,0.063034,13.192848,16.862778,0.0,0.00171,0.0,0.00176,0.0,0.01756,0.0,0.03605,0.0,0.01182,0.01069,0.01172,0.01374,0.02376,0.01316,0.01886,-99.0,0.00347,-99.0,0.0038,-99.0,0.00911,-99.0,0.0078,-99.0,0.0015,0.00198,0.00135,0.00122,0.00107,0.00219,0.00152,0.28,14,78339,214.878529,52.874144,5.664,5.664,5.664,5.664,5.664,14,0.0,0.013033468932932977,j141930.85p525226.92,5,21726,214.878534,52.874142,ceers-v3_g395m-f290lp_1345_515.spec.fits,ceers-v3,515,0,,3,5.6652,5.6652,Redshift matches egs-nelsonx-v3_g395m-f290lp_4106_60243 z=5.6652,KNa23  z=5.664,1,0.27,3.01,5.2,,12.1,,42.04,41.96,,,,FITS   zfit   spl,,,0.007200000005568831
CEERS_00534,214.859117,52.85364,7.115,,-20.1,0.51,0.24,,8.72,0.28,0.4,,,,,,,,,,,,,,,,,,,1,,,55665,214.859114,52.853639,26765.086,9798.405,279.0,0.03,3.0,6.452,0.08169,0.0045,4.588866,0.06638,29.440913,36.710926,0.0,0.01414,0.0,0.00597,0.0,0.09004,0.0,0.05653,0.0,0.08933,0.08579,0.09503,0.11063,0.122,0.25338,0.17888,-99.0,0.01264,-99.0,0.01189,-99.0,0.02754,-99.0,0.02842,-99.0,0.00755,0.00916,0.00788,0.00605,0.00628,0.01093,0.00884,0.33,314,55665,214.859114,52.853639,7.115,7.115,7.115,7.115,7.115,314,0.0,0.007449258331791902,j141926.19p525112.99,5,21825,214.859117,52.853639,rubies-egs62-nod-v3_prism-clear_4233_49188.spec.fits,rubies-egs62-nod-v3,49188,1,G395M,3,7.1176,7.1176,Redshift matches rubies-egs63-v3_g395m-f290lp_4233_49188 z=7.1093,KNa23  z=7.115,1,0.85,0.6,5.29,-2.1,,,,42.49,,,,FITS   zfit   spl,,,0.0
CEERS_00542,214.831624,52.831505,7.064,,-19.89,0.38,0.06,,8.25,0.07,0.1,,,,,14,26,>,2.4,,,,,,,,,,,1,,,54742,214.831618,52.831507,30079.617,9599.654,175.0,0.12,3.0,6.457,0.0552,0.0042,3.723605,0.150819,-58.205363,29.788843,0.0,0.0063,0.0,0.01521,0.06132,0.05338,0.0,0.04646,0.0,0.04925,0.04533,0.03785,0.04506,0.04759,0.08981,0.05564,-99.0,0.00632,-99.0,0.00717,0.01049,0.01767,-99.0,0.0139,-99.0,0.00464,0.00532,0.00425,0.00326,0.0032,0.00509,0.00463,0.28,313,54742,214.831618,52.831507,7.063,7.063,7.063,7.063,7.063,313,0.0,0.014904338944702847,j141919.59p524953.42,1,19389,214.831624,52.831505,ceers-v3_prism-clear_1345_542.spec.fits,ceers-v3,542,0,,3,7.0605,7.0605,,KNa23  z=7.064,1,1.27,0.6,5.29,-0.2,0.8,,41.43,42.02,,,,FITS   zfit   spl,,,0.007200000005568831
CEERS_00545,214.864411,52.853657,5.668,,-20.86,1.32,0.0,,9.03,0.58,0.11,,1.34,0.07,0.09,72,21,,5.7,1.1,,8.7,1.7,,4.8,1.2,7.93,0.19,0.19,1,R23,,53913,214.864405,52.853656,26515.449,9507.405,972.0,0.03,3.0,7.316,0.51383,0.0056,7.733643,0.338103,42.822518,61.869141,0.0,0.01154,0.0,0.0627,0.0,0.23814,0.0,0.23748,0.0,0.21018,0.24436,0.27109,0.36043,0.59318,0.35605,0.53414,-99.0,0.00964,-99.0,0.00904,-99.0,0.02024,-99.0,0.01808,-99.0,0.0059,0.00744,0.00667,0.00551,0.00517,0.00867,0.00721,0.33,314,53913,214.864405,52.853656,5.668,5.668,5.668,5.668,5.668,314,0.0,0.013530915130086321,j141927.46p525113.17,2,21936,214.864411,52.853657,ceers-v3_prism-clear_1345_545.spec.fits,ceers-v3,545,0,,3,5.6652,5.6652,Redshifts match v2 grade=3,KNa23  z=5.668,1,5.14,0.6,5.29,-2.2,37.5,,42.81,43.16,,,,FITS   zfit   spl,,,0.0035999999913344186
