source_id,grating,BIC_Ha1,AIC_Ha1,reduced_chi2_Ha1,Ha_EW_narrow_Ha1,Ha_EW_narrow_err_Ha1,OIII_FWHM,OIII_EW,OIII_Luminosity,Hb_FWHM,Hb_EW,Hb_Luminosity,Hb_Luminosity_err,Ha_FWHM,Ha_FWHM_err,Ha_intrinsic_FWHM,Ha_intrinsic_FWHM_err,Ha_Luminosity,Ha_Luminosity_err,OIII_FWHM_err,OIII_intrinsic_FWHM,OIII_intrinsic_FWHM_err,OIII_EW_err,OIII_Luminosity_err,Hb_FWHM_err,Hb_intrinsic_FWHM,Hb_intrinsic_FWHM_err,Hb_EW_err,L_NII_uplim
7319,g395h-f290lp1,154.856,143.005,2.644,234.59,2.52,222.01,65.32,7.363e+40,,,,,234.59,27.68,220.17,80.33,1.098e+41,2.185e+40,44.78,196.66,99.51,0.81,2.503e+40,,,,,3.449608121635382e+40
7320,g395m-f290lp0,74.559,66.249,2.879,188.93,3.07,225.54,173.11,1.643e+41,659.17,93.6,8.658e+40,5.747e+40,188.93,56.22,27.49,28.4,1.101e+41,5.187e+40,26.16,,,2.15,3.357e+40,257.68,621.71,318.98,1.13,8.532517002485372e+40
7327,g395h-f290lp1,138.95,126.55,2.112,132.38,2.0,146.86,552.42,1.689e+42,158.86,96.63,3.155e+41,3.727e+40,132.38,5.14,112.22,59.68,7.96e+41,5.184e+40,2.88,115.36,71.43,6.98,5.898e+40,10.99,137.69,69.34,1.24,5.036197568515551e+40
7328,g395h-f290lp1,127.531,115.035,1.937,140.19,4.26,139.36,398.91,6.641e+41,114.65,42.31,1.1e+41,2.178e+40,140.19,7.45,122.16,60.27,4.099e+41,3.632e+40,3.76,106.1,68.85,5.05,3.107e+40,13.62,84.46,57.99,0.54,3.858616123258206e+40
7329,g395h-f290lp1,180.763,169.482,3.8,149.24,3.18,222.19,262.55,1.346e+42,218.78,63.37,2.492e+41,2.979e+40,149.24,4.16,118.1,72.28,7.624e+41,3.71e+40,5.7,87.81,80.69,3.27,6.235e+40,15.34,130.49,105.14,0.8,1.8271757455739824e+40
7330,g395h-f290lp1,136.623,124.661,2.273,159.56,9.94,204.38,241.37,1.566e+42,481.75,320.92,4.794e+41,1.531e+41,159.56,8.51,139.5,68.13,8.012e+41,7.271e+40,9.9,178.02,87.87,2.95,1.312e+41,91.65,457.85,166.94,3.95,8.194145354024211e+40
7334,g395h-f290lp1,129.353,118.203,2.592,204.42,2.46,262.73,188.1,1.06e+42,258.93,40.22,1.93e+41,3.058e+40,204.42,5.51,181.04,84.21,5.599e+41,2.59e+40,5.32,159.54,126.8,2.32,3.767e+40,24.38,181.08,130.55,0.51,3.2227826861192917e+40
7335,g395h-f290lp1,162.727,150.502,2.543,158.59,11.99,177.02,267.13,1.25e+42,182.69,90.68,1.519e+41,3.077e+40,158.59,6.33,140.83,65.01,5.626e+41,3.819e+40,4.55,149.41,80.22,3.36,5.614e+40,22.03,163.39,75.71,1.16,4.532879404242658e+40
7338,g395m-f290lp1,30.087,22.602,1.479,192.11,170356003.73,217.43,91.54,9.077e+40,,,,,192.11,64.6,,,6.949e+40,3.416e+40,53.96,91.61,86.14,1.12,3.793e+40,,,,,3.2764872004991475e+40
7339,g395h-f290lp0,120.502,108.329,1.961,119.14,1.61,815.33,50.85,5.168e+41,155.13,62.44,1.375e+41,7.724e+40,119.14,12.01,93.38,58.75,4.324e+41,7.287e+40,2289.54,809.79,2275.92,0.92,4.119e+42,52.3,131.26,82.78,0.8,1.8272491525197696e+41
7341,g395h-f290lp1,142.629,130.456,2.262,124.03,4.38,130.65,619.8,6.201e+41,295.59,622.64,1.541e+41,4.002e+40,124.03,10.09,99.48,59.96,4.644e+41,6.389e+40,7.13,89.77,65.41,7.86,5.835e+40,44.66,192.39,148.93,7.83,6.234140461317057e+40
7342,g235m-f170lp0,68.53,60.087,2.514,216.24,3.55,253.6,518.23,1.983e+41,,,,,216.24,13.98,85.98,79.08,1.86e+41,2.081e+40,18.42,41.41,40.96,6.41,2.426e+40,,,,,3.9411618160462408e+40
7345,g395h-f290lp1,161.225,150.387,3.741,137.32,7.55,222.65,17033.43,1.16e+42,248.07,601.2,2.477e+41,1.821e+40,137.32,3.78,92.67,68.43,5.665e+41,2.728e+40,4.86,,,211.7,4.421e+40,10.61,152.91,120.59,7.6,1.2983841318723822e+40
7362,g395h-f290lp1,164.116,151.692,2.448,106.86,2.66,289.19,3414.63,4.085e+41,117.78,49.32,8.832e+40,2.493e+40,106.86,6.52,80.88,53.09,3.018e+41,3.099e+40,10.49,158.6,132.75,41.87,2.546e+40,19.81,87.61,60.38,0.63,5.091119773475247e+40
